tool;n;lower_whisker;lower_quartile;median;upper_quartile;upper_whisker;average;outliers
HECATE;835;32.345500;51.763400;77.588894;275.029489;609.676060;277.539360;627.019,641.903,644.306,646.534,661.981,666.765,668.913,685.142,686.017,704.565,724.327,726.764,733.732,734.024,734.224,767.513,776.339,780.24,782.945,790.799,792.72,794.702,795.217,796.541,802.764,807.044,828.624,839.705,843.395,849.21,853.184,856.668,863.964,866.273,867.803,871.034,879.432,916.281,921.47,923.738,927.708,930.155,931.252,932.886,971.693,972.206,1013.78,1067.69,1073.99,1094.55,1113.24,1116.36,1138.82,1159.15,1160.65,1165.99,1170.46,1186.37,1197.61,1206.59,1218.95,1221.97,1246.06,1266.75,1272.06,1281.43,1285.55,1315.33,1368.33,1402.73,1426.1,1430.4,1434.77,1461.42,1500.95,1531.98,1533.99,1537.73,1577.89,1580.9,1684.17,1728.07,1878.58,2074.63,2114.03,2121.73,2129.5,2151.31,2272.91,2291.5,2299.26,2313.25,2376.79,2543.6,2699.3,2702.18,2747.42,3011.47,3419.34,7218.02
S-TaLiRo;41;45.232166;70.428625;135.755387;308.707782;592.401807;529.398717;897.541,1715.23,1767.92,2416.99,2502.4,2525.02,2601.14,2725.84
